file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS019128	FASTQ	DNA	27663670	2657538495	31	96.1	100
SRS019176	FASTQ	DNA	13285246	1327700531	31	99.9	100
SRS019225	FASTQ	DNA	12627071	1250166300	31	99	100
SRS019276	FASTQ	DNA	13820031	1381099606	31	99.9	100
SRS019333	FASTQ	DNA	11529314	1151334125	31	99.9	100
SRS019360	FASTQ	DNA	4523373	451773784	31	99.9	100
SRS019387	FASTQ	DNA	14932973	1492046280	31	99.9	100
SRS019443	FASTQ	DNA	1689693	168716936	31	99.9	100
SRS019494	FASTQ	DNA	17022547	1699962027	31	99.9	100
SRS019591	FASTQ	DNA	29717119	2969134005	31	99.9	100
SRS019798	FASTQ	DNA	12207430	1218944074	31	99.9	100
SRS019906	FASTQ	DNA	19344999	1917522609	31	99.1	100
SRS019980	FASTQ	DNA	32007728	3192515660	31	99.7	101
SRS020283	FASTQ	DNA	4105423	414086240	31	100.9	101
SRS020340	FASTQ	DNA	38330953	3812283676	31	99.5	101
SRS020406	FASTQ	DNA	14084953	1399070400	31	99.3	101
SRS020862	FASTQ	DNA	11876976	1196993164	31	100.8	101
SRS021477	FASTQ	DNA	26637398	2678501649	31	100.6	101
SRS021960	FASTQ	DNA	12251216	1223156661	31	99.8	101
SRS022083	FASTQ	DNA	15702763	1566940220	31	99.8	101
SRS022149	FASTQ	DNA	12463932	1182768588	31	94.9	95
SRS022281	FASTQ	DNA	43872216	4381257711	31	99.9	101
SRS022536	FASTQ	DNA	32764719	3275682906	31	100	100
SRS022725	FASTQ	DNA	34626542	3461390853	31	100	100
SRS022883	FASTQ	DNA	66623541	6635353082	31	99.6	101
SRS022980	FASTQ	DNA	73880439	7375678614	31	99.8	101
SRS023358	FASTQ	DNA	11401759	1130822403	31	99.2	100
SRS023538	FASTQ	DNA	7859411	791275788	31	100.7	101
SRS023841	FASTQ	DNA	13118521	1287837899	31	98.2	101
SRS023964	FASTQ	DNA	9152638	920629434	31	100.6	101
SRS024021	FASTQ	DNA	37992767	3788286170	31	99.7	101
SRS024087	FASTQ	DNA	33951653	3221334690	31	94.9	95
SRS024119	FASTQ	DNA	14493444	1437134706	31	99.2	101
SRS024144	FASTQ	DNA	11895843	1191006731	31	100.1	101
SRS024289	FASTQ	DNA	17010583	1713480178	31	100.7	101
SRS024355	FASTQ	DNA	23738321	2389929145	31	100.7	101
SRS024504	FASTQ	DNA	12493063	1239531114	31	99.2	101
SRS024561	FASTQ	DNA	20423132	2038322544	31	99.8	101
SRS024649	FASTQ	DNA	25556654	2519439287	31	98.6	101
