BGC	cluster_0.2	cluster_0.8
1618	2060	13
1619	36	13
1620	423	33
1621	63	4
1622	1368	54
1623	548	13
1624	2477	13
1625	2060	13
1626	36	13
1627	63	4
1628	853	15
1629	1368	54
1630	548	13
1631	2060	13
1632	2060	13
1633	548	13
1634	2662	33
1635	63	4
1636	853	15
1637	1368	54
1638	548	13
1639	2060	13
1640	63	4
1641	853	15
1642	1368	54
1643	548	13
1644	2060	13
1645	2060	13
1646	548	13
1647	670	33
1648	276	11
1649	63	4
1650	853	15
1651	1368	54
1652	548	13
1653	2477	13
1654	2060	13
1655	548	13
1656	670	33
1657	63	4
1658	853	15
1659	1368	54
1660	548	13
1661	2060	13
1662	2060	13
1663	2060	13
1664	548	13
1665	423	33
1666	63	4
1667	853	15
1668	1368	54
1669	548	13
1670	2060	13
1671	2060	13
1672	548	13
1673	670	33
1674	63	4
1675	853	15
1676	1368	54
1677	548	13
1678	2060	13
1679	2060	13
1680	548	13
1681	670	33
1682	276	11
1683	63	4
1684	853	15
1685	1368	54
1686	548	13
1687	2477	13
1688	2060	13
1689	548	13
1690	1401	33
1691	276	11
1692	63	4
1693	853	15
1694	572	54
1695	2477	13
1696	2060	13
1697	548	13
1698	2662	33
1699	276	11
1700	63	4
1701	853	15
1702	548	13
1703	2060	13
1704	1131	13
1705	202	13
1706	2662	33
1707	276	11
1708	63	4
1709	853	15
1710	572	54
1711	2477	13
1712	1131	13
1713	202	13
1714	84	33
1715	276	11
1716	63	4
1717	853	15
1718	572	54
1719	2477	13
1720	2060	13
1721	2060	13
1722	346	13
1723	423	33
1724	63	4
1725	853	15
1726	1368	54
1727	548	13
1728	2060	13
1729	548	13
1730	276	11
1731	63	4
1732	853	15
1733	1368	54
1734	548	13
1735	2477	13
1736	2060	13
1737	548	13
1738	423	33
1739	276	11
1740	63	4
1741	853	15
1742	1368	54
1743	548	13
1744	2060	13
1745	2060	13
1746	2060	13
1747	670	33
1748	63	4
1749	853	15
1750	1368	54
1751	548	13
1752	2060	13
1753	1131	13
1754	36	13
1755	423	33
1756	63	4
1757	853	15
1758	1368	54
1759	548	13
1760	2060	13
1761	202	13
1762	2662	33
1763	63	4
1764	853	15
1765	572	54
1766	2060	13
1767	548	13
1768	276	11
1769	63	4
1770	853	15
1771	1368	54
1772	548	13
1773	2477	13
1774	2060	13
1775	548	13
1776	276	11
1777	63	4
1778	853	15
1779	1368	54
1780	548	13
1781	2477	13
1782	2060	13
1783	548	13
1784	670	33
1785	63	4
1786	853	15
1787	1368	54
1788	548	13
1789	2060	13
1790	2060	13
1791	548	13
1792	423	33
1793	63	4
1794	853	15
1795	1368	54
1796	548	13
1797	2060	13
1798	2060	13
1799	670	33
1800	63	4
1801	853	15
1802	1368	54
1803	548	13
1804	2060	13
1805	2060	13
1806	36	13
1807	548	13
1808	670	33
1809	63	4
1810	1368	54
1811	548	13
1812	2060	13
1813	2060	13
1814	548	13
1815	670	33
1816	276	11
1817	63	4
1818	572	54
1819	2477	13
1820	63	4
1821	853	15
1822	1368	54
1823	548	13
1824	2060	13
1825	2060	13
1826	548	13
1827	2662	33
1828	276	11
1829	63	4
1830	853	15
1831	1368	54
1832	548	13
1833	2477	13
1834	1131	13
1835	202	13
1836	423	33
1837	276	11
1838	63	4
1839	853	15
1840	572	54
1841	2477	13
1842	2060	13
1843	423	33
1844	276	11
1845	63	4
1846	853	15
1847	572	54
1848	2477	13
1849	1131	13
1850	202	13
1851	423	33
1852	276	11
1853	63	4
1854	853	15
1855	572	54
1856	2477	13
1857	2060	13
1858	548	13
1859	670	33
1860	63	4
1861	853	15
1862	1368	54
1863	548	13
1864	2060	13
1865	2060	13
1866	548	13
1867	276	11
1868	63	4
1869	853	15
1870	1368	54
1871	548	13
1872	2477	13
1873	2060	13
1874	548	13
1875	1401	33
1876	276	11
1877	63	4
1878	853	15
1879	1368	54
1880	548	13
1881	2477	13
1882	2060	13
1883	548	13
1884	2662	33
1885	276	11
1886	63	4
1887	853	15
1888	1368	54
1889	548	13
1890	2477	13
1891	1131	13
1892	202	13
1893	423	33
1894	276	11
1895	1125	4
1896	853	15
1897	572	54
1898	2477	13
1899	1131	13
1900	202	13
1901	2662	33
1902	276	11
1903	63	4
1904	853	15
1905	572	54
1906	2477	13
1907	2060	13
1908	1401	33
1909	63	4
1910	853	15
1911	548	13
1912	1131	13
1913	202	13
1914	423	33
1915	276	11
1916	1125	4
1917	853	15
1918	572	54
1919	2477	13
1920	202	13
1921	63	4
1922	853	15
1923	548	13
1924	2060	13
1925	2477	13
1926	2060	13
1927	1131	13
1928	146	13
1929	36	13
1930	1401	33
1931	63	4
1932	853	15
1933	1368	54
1934	548	13
1935	2060	13
1936	146	13
1937	193	29
1938	811	4
1939	96	13
1940	91	48
1941	347	50
1942	1200	48
1943	122	13
1944	45	4
1945	2534	13
1946	29	13
1947	215	4
1948	1200	48
1949	310	48
1950	468	13
1951	144	30
1952	122	13
1953	460	13
1954	310	48
1955	1954	27
1956	310	48
1957	558	4
1958	82	33
1959	621	4
1960	748	33
1961	621	4
1962	1228	13
1963	1238	48
1964	946	13
1965	166	110
1966	621	4
1967	283	48
1968	621	4
1969	347	50
1970	310	48
1971	171	4
1972	335	13
1973	174	13
1974	347	50
1975	310	48
1976	335	13
1977	171	4
1978	174	13
1979	171	4
1980	29	13
1981	91	48
1982	174	13
1983	42	48
1984	42	48
1985	335	13
1986	38	50
1987	310	48
1988	171	4
1989	174	13
1990	310	48
1991	171	4
1992	335	13
1993	174	13
1994	171	4
1995	91	48
1996	174	13
1997	42	48
1998	29	13
1999	310	48
2000	171	4
2001	335	13
2002	174	13
2003	310	48
2004	171	4
2005	335	13
2006	174	13
2007	347	50
2008	310	48
2009	171	4
2010	350	110
2011	174	13
2012	42	48
2013	335	13
2014	310	48
2015	171	4
2016	91	48
2017	29	13
2018	174	13
2019	42	48
2020	350	110
2021	347	50
2022	310	48
2023	171	4
2024	335	13
2025	174	13
2026	171	4
2027	29	13
2028	91	48
2029	42	48
2030	174	13
2031	310	48
2032	171	4
2033	29	13
2034	91	48
2035	174	13
2036	42	48
2037	347	50
2038	171	4
2039	29	13
2040	174	13
2041	42	48
2042	1200	48
2043	171	4
2044	174	13
2045	335	13
2046	310	48
2047	171	4
2048	174	13
2049	42	48
2050	29	13
2051	91	48
2052	347	50
2053	310	48
2054	171	4
2055	335	13
2056	174	13
